REFNO	NAME	NAMEORDER
10078	Bayston K	7
10078	Carradice D	5
10078	Ganly PS	8
10079	Al-Ali HK	16
10079	Bumm T	14
10079	Deininger MWN	26
10079	Franke C	21
10079	Friedrich T	23
10079	Hennig E	22
10079	Krahl R	24
10079	Krohn K	17
10079	Leiblein S	20
10079	Muller C	15
10079	Niederwieser D	25
10079	Schmidt E	19
10079	Shepherd P	18
1007	Golomb HM	5
1007	Larson RA	1
1007	Le Beau MM	2
1007	Rowley JD	6
1007	Testa JR	4
1007	Vardiman JW	3
10080	Camos M	13
10080	Cervantes F	10
10080	del Campo R	16
10080	Garcia-Conde J	17
10080	Hernandez-Boluda J-C	11
10080	Martinez-Climent J-A	15
10080	Montserrat E	18
10080	Odriozola J	12
10080	Villalon L	14
10081	Choi H-Y	20
10081	Jeong M-J	19
10081	Jung S	14
10081	Kim H-I	18
10081	Kim J-H	15
10081	Lee J-S	17
10081	Lee M-C	11
10081	Lim J-S	13
10081	Park S-K	12
10081	Woo Y-J	16
10082	Nelson BP	4
10082	Peterson LC	6
10082	Variakojis D	5
10083	Arghir A	6
10083	Berbec N	9
10083	Lupu A	7
10083	Mut Popescu D	8
10084	Akay OM	7
10084	Aslan V	6
10084	Durak B	8
10084	Gulbas Z	10
10084	Kabukcuoglu S	9
10085	Chandy M	4
10085	Dalton J	3
10085	Mathew S	2
10085	Shivakumar S	1
10085	Srivastava A	5
10086	Hao S	7
10086	Lai R	10
10086	Medeiros LJ	12
10086	Onciu M	9
10086	Sanger W	8
10086	Schlette EJ	11
10087	Archer KJ	14
10087	Bloomfield CD	24
10087	Carroll AJ	17
10087	Farag SS	13
10087	Kolitz JE	20
10087	Larson RA	23
10087	Mayer RJ	21
10087	Moore JO	19
10087	Mrozek K	15
10087	Pettenati MJ	18
10087	Stone RM	22
10087	Vardiman JW	16
10088	Agaoglu L	13
10088	Anak S	15
10088	Devecioglu O	17
10088	Gedikoglu G	20
10088	Meral A	19
10088	Ozbek U	11
10088	Sirma S	12
10088	Timur C	18
10088	Yildiz I	16
10088	Yuksel L	14
10089	Bourkova L	23
10089	Buchler T	19
10089	Bulikova A	24
10089	Fiserova A	16
10089	Hajek R	17
10089	Holubova V	18
10089	Janackova Z	26
10089	Kovarova R	21
10089	Kuglik P	28
10089	Mareschova I	25
10089	Musilova R	22
10089	Penka M	30
10089	Sobotka J	20
10089	Vanova P	27
10089	Vorlicek J	29
1008	Butler ae	4
1008	Golomb HM	5
1008	Kondo K	2
1008	Larson RA	1
1008	Rowley JD	6
1008	Vardiman JW	3
10090	Bahng H	5
10090	Jang G	1
10090	Jeong YH	6
10090	Ji H-S	12
10090	Kim E-K	4
10090	Kim S-H	9
10090	Kim S-W	2
10090	Kim W-K	8
10090	Lee J-S	13
10090	Park C-J	11
10090	Park IG	7
10090	Suh C	3
10090	Suh E-J	10
10091	Baxter EJ	17
10091	Boultwood J	31
10091	Calasanz MJ	25
10091	Cross NCP	32
10091	Dang R	28
10091	Fidler C	29
10091	Hughes G	23
10091	Jaju R	20
10091	Kulkarni S	18
10091	Lahortiga I	26
10091	Martinelli G	21
10091	Pocock CF	27
10091	Salamanchuk Z	24
10091	Testoni N	22
10091	Vizmanos J-L	19
10091	Wainscoat JS	30
10092	Alam R	14
10092	Boogaerts M	20
10092	Clark J	8
10092	Cools J	1
10092	Cortes J	6
10092	Coutre SE	24
10092	Cross NCP	11
10092	DeAngelo DJ	2
10092	Galinsky I	9
10092	Gilliland DG	26
10092	Gotlib J	3
10092	Griffin JD	10
10092	Kantarjian H	22
10092	Kutok J	7
10092	Legare RD	5
10092	Malone J	13
10092	Marynen P	23
10092	Rose M	17
10092	Schmid J	16
10092	Schrier SL	15
10092	Stone R	25
10092	Stover EH	4
10092	Tefferi A	12
10092	Vandenberghe P	18
10092	Verhoef G	19
10092	Wlodarska I	21
10093	Downing JR	12
10093	Lorsbach RB	7
10093	Mathew S	9
10093	Moore J	8
10093	Mukatira ST	11
10093	Raimondi SC	10
10094	aman P	6
10094	Bergh P	4
10094	Kindblom L-G	7
10094	Meis-Kindblom JM	2
10094	orndal C	3
10094	Ptaszynski K	5
10094	Sjogren H	1
10094	Stenman G	8
10095	Carder KJ	8
10095	Dent GA	10
10095	Dunphy CH	6
10095	Rao KW	9
10095	van Deventer HW	7
10096	Elhamri M	7
10096	Le Q-H	6
10096	Tavernier E	5
10096	Thomas X	8
10097	Chan LC	8
10097	Chan NPH	5
10097	Ma ESK	6
10097	Wan TSK	7
10098	Aizawa Y	24
10098	Aoki S	20
10098	Furukawa T	21
10098	Hashimoto S	13
10098	Izumi N	15
10098	Moriyama M	19
10098	Narita M	22
10098	Ozawa T	18
10098	Sato N	16
10098	Takahashi H	17
10098	Takahashi M	23
10098	Toba K	14
10099	Baruchel A	4
10099	Biondi A	5
10099	Boyett JM	6
10099	Camitta B	3
10099	Carroll A	7
10099	Chessells JM	2
10099	Eden OB	8
10099	Evans WE	9
10099	Gadner H	10
10099	Gaynon PS	30
10099	Harbott J	11
10099	Harms DO	12
10099	Harrison CJ	13
10099	Harrison PL	14
10099	Heerema N	15
10099	Janka-Schaub G	16
10099	Kamps W	17
10099	Masera G	18
10099	Pui C-H	1
10099	Pullen J	19
10099	Raimondi SC	20
10099	Richards S	21
10099	Riehm H	22
10099	Sallan S	23
10099	Sather H	24
10099	Schrappe M	31
10099	Shuster J	25
10099	Silverman LB	26
10099	Valsecchi MG	27
10099	Vilmer E	28
10099	Zhou Y	29
1009	Ackerman L	8
1009	Dorminey C	4
1009	Graves N	7
1009	Needleman S	5
1009	Orman SV	2
1009	Patil SR	3
1009	Rajtora D	6
1009	Taylor WW	9
1009	Yoo TJ	1
100	Behr A	3
100	Bernstein R	1
100	Mendelow B	4
100	Pinto MR	2
10100	Dohy H	27
10100	Katayama N	19
10100	Kita K	31
10100	Kobayashi T	22
10100	Kyo T	28
10100	Lorenzo F 5th	20
10100	Miwa H	23
10100	Mizutani M	24
10100	Nakase K	21
10100	Nasu K	26
10100	Nishii K	17
10100	Shiku H	32
10100	Tanaka I	25
10100	Taniwaki M	29
10100	Ueda T	30
